epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.786,0.59183,2.12136,1.07726,0.77007,0.71611,0.8258,0.764,0.4151,0.84514,0.9763,0.000332268,0.000332268,0.000332268
2,175.544,0.41244,0.76263,0.96316,0.93498,0.86965,0.96191,0.90614,0.37294,0.48831,0.93545,0.000599707,0.000599707,0.000599707
3,242.542,0.38408,0.55165,0.94438,0.945,0.90627,0.97132,0.92309,0.35192,0.43406,0.93333,0.000801146,0.000801146,0.000801146
4,309.779,0.3594,0.46838,0.93528,0.97276,0.92132,0.98352,0.94804,0.32257,0.36132,0.90463,0.000703,0.000703,0.000703
5,376.847,0.33655,0.4142,0.92296,0.97261,0.9366,0.98631,0.95836,0.3062,0.33737,0.91544,0.000604,0.000604,0.000604
6,443.97,0.31607,0.37823,0.91578,0.97816,0.93272,0.98638,0.96434,0.28204,0.32119,0.90006,0.000505,0.000505,0.000505
7,511.315,0.29859,0.35412,0.90926,0.97892,0.95133,0.9905,0.97373,0.26407,0.2885,0.89642,0.000406,0.000406,0.000406
8,578.56,0.28467,0.33192,0.90608,0.98347,0.95511,0.99154,0.97501,0.25634,0.27249,0.89089,0.000307,0.000307,0.000307
9,645.99,0.27028,0.31234,0.90037,0.98638,0.95467,0.99173,0.97829,0.24278,0.26497,0.89018,0.000208,0.000208,0.000208
10,713.278,0.25823,0.29657,0.8961,0.98574,0.96181,0.99211,0.98024,0.23469,0.25506,0.88875,0.000109,0.000109,0.000109
