epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.18,0.45229,1.46404,0.83129,0.93827,0.89616,0.97159,0.91214,0.36266,0.53273,0.80344,0.000332978,0.000332978,0.000332978
2,405.998,0.39382,0.59231,0.81558,0.96526,0.93449,0.98524,0.92939,0.35567,0.41934,0.80307,0.000600346,0.000600346,0.000600346
3,586.871,0.36839,0.4392,0.81184,0.975,0.93475,0.98481,0.93761,0.33229,0.36733,0.79904,0.000801715,0.000801715,0.000801715
4,764.311,0.34364,0.3798,0.80679,0.97671,0.958,0.99053,0.95852,0.28342,0.29762,0.78951,0.000703,0.000703,0.000703
5,945.125,0.31668,0.33152,0.79835,0.98809,0.95986,0.99234,0.96565,0.26196,0.26274,0.78649,0.000604,0.000604,0.000604
6,1123.8,0.29375,0.2975,0.79404,0.98712,0.96917,0.99316,0.96945,0.25849,0.24692,0.7836,0.000505,0.000505,0.000505
7,1303.68,0.27566,0.27418,0.79085,0.99268,0.96394,0.99347,0.97617,0.23319,0.22818,0.78004,0.000406,0.000406,0.000406
8,1484.31,0.26187,0.25208,0.78737,0.99501,0.9657,0.99365,0.97681,0.23356,0.21585,0.77902,0.000307,0.000307,0.000307
9,1666.45,0.24531,0.23316,0.78413,0.99349,0.96866,0.99386,0.97963,0.22308,0.204,0.77653,0.000208,0.000208,0.000208
10,1850.73,0.2308,0.21534,0.7804,0.99599,0.96866,0.99395,0.9831,0.20717,0.18919,0.7737,0.000109,0.000109,0.000109
