epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.021,0.62056,1.86377,0.85403,0.75484,0.7069,0.82645,0.74957,0.46357,0.85839,0.81458,0.000332978,0.000332978,0.000332978
2,504.473,0.5099,0.8642,0.8273,0.91057,0.80364,0.93364,0.84792,0.44939,0.58794,0.81228,0.000600346,0.000600346,0.000600346
3,691.574,0.47657,0.64076,0.82132,0.93431,0.83481,0.95097,0.8791,0.41732,0.49652,0.80654,0.000801715,0.000801715,0.000801715
4,878.874,0.44802,0.53832,0.81567,0.94271,0.86813,0.96511,0.90352,0.38253,0.42072,0.80063,0.000703,0.000703,0.000703
5,1065.21,0.4079,0.47121,0.80664,0.95879,0.87481,0.97166,0.91659,0.35578,0.3798,0.79649,0.000604,0.000604,0.000604
6,1252.34,0.37894,0.42002,0.80042,0.96256,0.89902,0.97787,0.93454,0.31659,0.33803,0.79024,0.000505,0.000505,0.000505
7,1439.48,0.35623,0.38385,0.79697,0.97022,0.91196,0.98221,0.94317,0.3095,0.31312,0.78845,0.000406,0.000406,0.000406
8,1627.69,0.33631,0.35514,0.79347,0.968,0.92404,0.98427,0.94957,0.29538,0.2892,0.78521,0.000307,0.000307,0.000307
9,1817.73,0.31678,0.32853,0.78923,0.97579,0.91978,0.98502,0.95656,0.27471,0.27134,0.78258,0.000208,0.000208,0.000208
10,2007.22,0.29794,0.30392,0.78644,0.96884,0.93723,0.98703,0.95973,0.26966,0.25505,0.78113,0.000109,0.000109,0.000109
