epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.798,0.4989,1.73158,1.03988,0.91657,0.85889,0.95104,0.90115,0.35731,0.53034,0.94804,0.000332268,0.000332268,0.000332268
2,402.391,0.35499,0.54715,0.94518,0.95511,0.92182,0.98166,0.94921,0.30558,0.3661,0.93178,0.000599707,0.000599707,0.000599707
3,500.642,0.32949,0.423,0.93823,0.96384,0.93672,0.98461,0.94992,0.30519,0.34442,0.92874,0.000801146,0.000801146,0.000801146
4,598.985,0.3104,0.38225,0.93195,0.97761,0.94804,0.98875,0.96718,0.27229,0.29736,0.9099,0.000703,0.000703,0.000703
5,697.389,0.28752,0.33411,0.92216,0.98263,0.95602,0.99077,0.97539,0.24712,0.26824,0.90542,0.000604,0.000604,0.000604
6,799.999,0.26647,0.30914,0.91478,0.98661,0.95461,0.9913,0.98017,0.2289,0.25568,0.90208,0.000505,0.000505,0.000505
7,903.573,0.24623,0.2897,0.90598,0.98651,0.96351,0.99262,0.98414,0.20747,0.23616,0.89623,0.000406,0.000406,0.000406
8,1007.07,0.23005,0.26694,0.89696,0.9886,0.96538,0.99293,0.98529,0.19634,0.22025,0.88942,0.000307,0.000307,0.000307
9,1110.58,0.21466,0.2438,0.89378,0.99257,0.96612,0.99332,0.98648,0.18937,0.20593,0.88081,0.000208,0.000208,0.000208
10,1214.16,0.2033,0.22592,0.88706,0.9897,0.97144,0.99346,0.9883,0.17635,0.19486,0.88213,0.000109,0.000109,0.000109
